mention_text,lat,lon,valid
Marion Lake,44.55734634399414,-121.86129760742188,1
restricted shallow marine basin,44.29499053955078,20.84742546081543,1
Dharwar craton South India,22.35251808166504,79.36368560791016,1
Langenberg,51.775611877441406,8.316059112548828,1
basin Delta,44.29499,20.84743,1
Burundi Stromatolite,-3.38227,29.36358,1
Red Sea Coast Saudi Arabia,22.53116,39.10591,1
inna Australia,-25.728103637695312,134.4901885986328,1
Ottawa Embayment eastern Ontario,45,-75,1
Brachina Gorge A,-31.335580825805664,138.4128875732422,1
North Greenland See Surlyk,74.75653076171875,-41.3934326171875,1
United States southeastern California,28.02965545654297,-81.91826629638672,1
attributing the Lake Untersee,-71.33300018310547,13.449999809265137,1
The Democratic Republic of the Congo,-2.8771510124206543,23.654895782470703,1
Franceville Gro Gabon,-0.6010980010032654,11.789278984069824,1
western Taurus Mountains in Turkey,38.98909378051758,35.43324279785156,1
Lake Tanganyika,-6.5,29.83300018310547,1
Wernecke and Hart River,65.28233337402344,-137.07464599609375,1
northern Perth Basin,-31.951839447021484,115.85870361328125,1
Kimberley region,-28.73781,24.76621,1
Thackeray Z  Cape Morgan,52.522159576416016,-108.76091003417969,1
Penibetic Betic Cordillera Southern Spain,40.390106201171875,-3.554382085800171,1
western Andros Island,24.68657875061035,-78.05005645751953,1
Shahmirzad area,35.776390075683594,53.3240852355957,1
Katibili Bay Zaire Neothauma,-6.611754894256592,13.569380760192871,1
New Mexico USA,34.42136764526367,-106.10839080810547,1
Flagpole Landing,-36.83068,175.713,1
Berlin Germany,52.50147247314453,13.402316093444824,1
Northern Urals Ilych River,63.19928,75.41329,1
Christchurch New Zealand The Waterways,-43.55335,172.5551,1
Little DeGrey Spring,30.079730987548828,-95.41768646240234,1
Northern Territories Australia,-25.728103637695312,134.4901885986328,1
Ma'anshan and the Jiangnan Slope,22.78120994567871,108.27330780029297,1
paleoflow Logan,37.84600830078125,-81.98931121826172,1
AUSTRALIA Downloaded,-25.728103637695312,134.4901885986328,1
Groups Canada,62.5742073059082,-96.60790252685547,1
Brazil Cave Coordinates Area Reference Gruta,-10.755864143371582,-53.083274841308594,1
Turkana,3.186635971069336,35.44960403442383,1
coastal Lagoa Vermelha Brazil,-28.2105655670166,-51.526371002197266,1
Tervola region,66.0871,24.8113,1
Exuma Sound Bahamas,24.28608512878418,-76.1810302734375,1
Ordos region,39.604000091552734,109.78500366210938,1
Nanjing People 's Republic of China Nanjing Institute,31.924747467041016,118.84783935546875,1
intertropical Africa,-25.74602,28.18712,1
Kawashita,-1,-1,0
Geowissenschaften Universitat Bremen Bremen Germany Geological and Environmental Sciences Department California State University-Chico Chico California,53.074981689453125,8.80708122253418,1
Geowissenschaften Universitat Bremen Bremen Germany Department,53.11134338378906,8.859376907348633,1
Fortescue Group Australia,-25.728103637695312,134.4901885986328,1
Dupraz,45.91796875,6.031010150909424,1
pool Pozas Azules,18.271533966064453,-66.48111724853516,1
British Columbia Canada,54.56250762939453,-125.11656951904297,1
Nederlands,52.37317,4.89066,1
north Eurasia,49.9998779296875,79.99994659423828,1
in situ Charophyta,23.10355567932129,85.86042785644531,1
Ogiat Betina,43.82277297973633,15.603434562683105,1
Hamelin Pool Shark Bay Australia,-26.441110610961914,114.34940338134766,1
China Geol,36.55937194824219,103.75334930419922,1
CA activity facilitated mineralization KUPRIYANOVA,37.254669189453125,-119.61727905273438,1
Warrawoona Gro.Buick,-33.66093826293945,122.08589935302734,1
Gulf of Aqaba Egypt,29.99799,31.39487,1
Dead Sea,31.5,35.5,1
hypersaline Europe Ciocaia Romania Thermal,47.337703704833984,22.045669555664062,1
Phrygan,-1,-1,0
Ziyun Guizhou,25.750999450683594,106.08399963378906,1
Shiea,-3.814650058746338,18.587770462036133,1
Montpellier University Montpellier France J Bertrand-Sarfati Institute,43.63194274902344,3.86388897895813,1
Bucegi Mountains Southern Carpathians Roamnia,45.83976745605469,24.98456573486328,1
phyla Crenarchaeota Euryarchaeota and Korarchaeota,-1,-1,0
T'Kuip Hills area,49.70462,5.85166,1
Stocking Island,23.533000946044922,-75.76699829101562,1
western Orobic Alps northern Italy,39.77363,8.82991,1
northeastern Mexico : in Bertrand,40.82207489013672,-86.11548614501953,1
Idaho,44.38907241821289,-114.65937042236328,1
Tottori Mycological Institute Tokyo Press Tokyo,35.5003776550293,134.23329162597656,1
Nizhnyaya Tunguska River,63.9673957824707,95.68976593017578,1
